,Regime_0,Regime_1,Regime_2,Regime_3,Regime_4
volatility,7.101601948077408e-05,0.0001037830018663332,7.007656380081747e-05,0.00019574287445253048,9.5137900891242e-05
spread,0.0780335899230247,0.10441865306547538,0.06919483985765527,0.10681607418856476,0.0870526315789376
volume,0.9661784464660602,0.8984271885083793,0.8590747330960854,0.860046058732612,0.8798736842105263
imbalance,-0.03773348939517568,0.01784231549824441,-0.027756877641252384,-0.02864525156239034,-0.10181376107974847
