Time,Regime
2025-03-17 00:02:04.292230212 +0530 IST,0
2025-03-17 00:02:05.292416707 +0530 IST,0
2025-03-17 00:02:06.292721089 +0530 IST,0
2025-03-17 00:02:07.292224022 +0530 IST,0
2025-03-17 00:02:08.292397137 +0530 IST,0
2025-03-17 00:02:09.292398851 +0530 IST,0
2025-03-17 00:02:10.292274589 +0530 IST,0
2025-03-17 00:02:11.292137973 +0530 IST,0
2025-03-17 00:02:12.29237721 +0530 IST,0
2025-03-17 00:02:13.292308156 +0530 IST,0
2025-03-17 00:02:14.292315313 +0530 IST,0
2025-03-17 00:02:15.29223761 +0530 IST,0
2025-03-17 00:02:16.292321942 +0530 IST,0
2025-03-17 00:02:17.29270789 +0530 IST,0
2025-03-17 00:02:18.292234187 +0530 IST,0
2025-03-17 00:02:19.292302931 +0530 IST,0
2025-03-17 00:02:20.292372107 +0530 IST,0
2025-03-17 00:02:21.292324134 +0530 IST,0
2025-03-17 00:02:22.292373751 +0530 IST,0
2025-03-17 00:02:23.292424779 +0530 IST,0
2025-03-17 00:02:24.292218478 +0530 IST,0
2025-03-17 00:02:25.292429388 +0530 IST,0
2025-03-17 00:02:26.292163031 +0530 IST,0
2025-03-17 00:02:27.292403049 +0530 IST,0
2025-03-17 00:02:28.292153489 +0530 IST,0
2025-03-17 00:02:29.292302743 +0530 IST,0
2025-03-17 00:02:30.292272906 +0530 IST,0
2025-03-17 00:02:31.292200215 +0530 IST,0
2025-03-17 00:02:32.292241085 +0530 IST,0
2025-03-17 00:02:33.292440901 +0530 IST,0
2025-03-17 00:02:34.29257352 +0530 IST,0
2025-03-17 00:02:35.292209066 +0530 IST,0
2025-03-17 00:02:36.292133806 +0530 IST,0
2025-03-17 00:02:37.292308327 +0530 IST,0
2025-03-17 00:02:38.292162065 +0530 IST,0
2025-03-17 00:02:39.292162272 +0530 IST,0
2025-03-17 00:02:40.292333592 +0530 IST,0
2025-03-17 00:02:41.292202504 +0530 IST,0
2025-03-17 00:02:42.29246132 +0530 IST,0
2025-03-17 00:02:43.292184014 +0530 IST,0
2025-03-17 00:02:44.29205145 +0530 IST,0
2025-03-17 00:02:45.292191282 +0530 IST,0
2025-03-17 00:02:46.292311451 +0530 IST,0
2025-03-17 00:02:47.29231188 +0530 IST,0
2025-03-17 00:02:48.292145353 +0530 IST,0
2025-03-17 00:02:50.292440235 +0530 IST,0
2025-03-17 00:02:51.292274989 +0530 IST,0
2025-03-17 00:02:52.292357662 +0530 IST,0
2025-03-17 00:02:53.292508839 +0530 IST,0
2025-03-17 00:02:54.292263934 +0530 IST,0
2025-03-17 00:02:55.292580006 +0530 IST,0
2025-03-17 00:02:56.293251998 +0530 IST,0
2025-03-17 00:02:57.292161214 +0530 IST,0
2025-03-17 00:02:58.292178377 +0530 IST,0
2025-03-17 00:02:59.292110321 +0530 IST,0
2025-03-17 00:03:00.292302546 +0530 IST,0
2025-03-17 00:03:01.292431182 +0530 IST,0
2025-03-17 00:03:02.292265452 +0530 IST,0
2025-03-17 00:03:03.292527576 +0530 IST,0
2025-03-17 00:03:04.292306318 +0530 IST,0
2025-03-17 00:03:05.292635074 +0530 IST,0
2025-03-17 00:03:06.292240261 +0530 IST,0
2025-03-17 00:03:07.292389536 +0530 IST,0
2025-03-17 00:03:08.292500803 +0530 IST,0
2025-03-17 00:03:09.292229876 +0530 IST,0
2025-03-17 00:03:10.292374732 +0530 IST,0
2025-03-17 00:03:11.292195443 +0530 IST,0
2025-03-17 00:03:12.292318042 +0530 IST,0
2025-03-17 00:03:13.305395497 +0530 IST,0
2025-03-17 00:03:14.292115302 +0530 IST,2
2025-03-17 00:03:15.292316879 +0530 IST,2
2025-03-17 00:03:16.292307132 +0530 IST,2
2025-03-17 00:03:17.292111317 +0530 IST,2
2025-03-17 00:03:18.292476651 +0530 IST,2
2025-03-17 00:03:19.292382003 +0530 IST,2
2025-03-17 00:03:20.29230545 +0530 IST,2
2025-03-17 00:03:21.292322101 +0530 IST,2
2025-03-17 00:03:22.292195359 +0530 IST,2
2025-03-17 00:03:23.2921705 +0530 IST,2
2025-03-17 00:03:24.29226019 +0530 IST,2
2025-03-17 00:03:25.292252424 +0530 IST,2
2025-03-17 00:03:26.29247689 +0530 IST,2
2025-03-17 00:03:27.292558438 +0530 IST,2
2025-03-17 00:03:28.292238493 +0530 IST,2
2025-03-17 00:03:29.292561431 +0530 IST,2
2025-03-17 00:03:30.292391194 +0530 IST,2
2025-03-17 00:03:31.292520368 +0530 IST,2
2025-03-17 00:03:32.29363246 +0530 IST,2
2025-03-17 00:03:33.292605749 +0530 IST,2
2025-03-17 00:03:34.292376467 +0530 IST,2
2025-03-17 00:03:35.292337733 +0530 IST,2
2025-03-17 00:03:36.292428375 +0530 IST,2
2025-03-17 00:03:37.292374575 +0530 IST,2
2025-03-17 00:03:38.292355924 +0530 IST,2
2025-03-17 00:03:39.292423623 +0530 IST,2
2025-03-17 00:03:40.292371672 +0530 IST,2
2025-03-17 00:03:41.292229599 +0530 IST,2
2025-03-17 00:03:42.292225796 +0530 IST,2
2025-03-17 00:03:43.292472708 +0530 IST,2
2025-03-17 00:03:44.292205119 +0530 IST,2
2025-03-17 00:03:45.292227806 +0530 IST,2
2025-03-17 00:03:46.292495514 +0530 IST,2
2025-03-17 00:03:47.292354266 +0530 IST,2
2025-03-17 00:03:48.292218314 +0530 IST,2
2025-03-17 00:03:49.292450789 +0530 IST,2
2025-03-17 00:03:50.292467032 +0530 IST,2
2025-03-17 00:03:51.292222246 +0530 IST,2
2025-03-17 00:03:52.292403039 +0530 IST,2
2025-03-17 00:03:53.292359227 +0530 IST,2
2025-03-17 00:03:54.292192392 +0530 IST,2
2025-03-17 00:03:55.292253621 +0530 IST,2
2025-03-17 00:03:56.292497448 +0530 IST,2
2025-03-17 00:03:57.292093695 +0530 IST,2
2025-03-17 00:03:58.292484331 +0530 IST,2
2025-03-17 00:03:59.292117487 +0530 IST,2
2025-03-17 00:04:00.292109404 +0530 IST,2
2025-03-17 00:04:01.292334655 +0530 IST,2
2025-03-17 00:04:02.29235943 +0530 IST,2
2025-03-17 00:04:03.292225172 +0530 IST,2
2025-03-17 00:04:04.292105365 +0530 IST,2
2025-03-17 00:04:05.292536346 +0530 IST,2
2025-03-17 00:04:06.292573646 +0530 IST,2
2025-03-17 00:04:07.29216117 +0530 IST,2
2025-03-17 00:04:08.292265427 +0530 IST,2
2025-03-17 00:04:09.292248768 +0530 IST,2
2025-03-17 00:04:10.29297617 +0530 IST,2
2025-03-17 00:04:11.292292415 +0530 IST,2
2025-03-17 00:04:12.292330873 +0530 IST,2
2025-03-17 00:04:13.292199709 +0530 IST,2
2025-03-17 00:04:14.292156849 +0530 IST,2
2025-03-17 00:04:15.292530206 +0530 IST,2
2025-03-17 00:04:16.292688773 +0530 IST,2
2025-03-17 00:04:17.292292181 +0530 IST,2
2025-03-17 00:04:18.292335894 +0530 IST,2
2025-03-17 00:04:19.292439526 +0530 IST,2
2025-03-17 00:04:20.292500041 +0530 IST,2
2025-03-17 00:04:21.292114422 +0530 IST,2
2025-03-17 00:04:22.292437157 +0530 IST,2
2025-03-17 00:04:23.292083234 +0530 IST,2
2025-03-17 00:04:24.29236 +0530 IST,2
2025-03-17 00:04:25.292259244 +0530 IST,2
2025-03-17 00:04:26.292443976 +0530 IST,2
2025-03-17 00:04:27.292230178 +0530 IST,2
2025-03-17 00:04:28.2923116 +0530 IST,2
2025-03-17 00:04:29.292379723 +0530 IST,2
2025-03-17 00:04:30.292394394 +0530 IST,2
2025-03-17 00:04:31.292337953 +0530 IST,2
2025-03-17 00:04:32.292058967 +0530 IST,2
2025-03-17 00:04:33.292206224 +0530 IST,2
2025-03-17 00:04:35.292265301 +0530 IST,2
2025-03-17 00:04:36.292332597 +0530 IST,2
2025-03-17 00:04:37.292140786 +0530 IST,2
2025-03-17 00:04:38.292223194 +0530 IST,2
2025-03-17 00:04:39.292398325 +0530 IST,2
2025-03-17 00:04:40.292557506 +0530 IST,2
2025-03-17 00:04:41.292465001 +0530 IST,2
2025-03-17 00:04:42.292590954 +0530 IST,2
2025-03-17 00:04:43.292398558 +0530 IST,2
2025-03-17 00:04:44.292327266 +0530 IST,2
2025-03-17 00:04:45.292436799 +0530 IST,2
2025-03-17 00:04:46.292702675 +0530 IST,2
2025-03-17 00:04:47.292358605 +0530 IST,2
2025-03-17 00:04:48.292469438 +0530 IST,2
2025-03-17 00:04:49.292293754 +0530 IST,2
2025-03-17 00:04:50.292232445 +0530 IST,2
2025-03-17 00:04:51.292880766 +0530 IST,2
2025-03-17 00:04:52.292214338 +0530 IST,2
2025-03-17 00:04:53.292231598 +0530 IST,2
2025-03-17 00:04:54.292303886 +0530 IST,2
2025-03-17 00:04:55.292157963 +0530 IST,2
2025-03-17 00:04:57.292165818 +0530 IST,2
2025-03-17 00:04:58.292173738 +0530 IST,2
2025-03-17 00:04:59.292302692 +0530 IST,2
2025-03-17 00:05:00.292156027 +0530 IST,2
2025-03-17 00:05:01.292356623 +0530 IST,2
2025-03-17 00:05:02.292510404 +0530 IST,2
2025-03-17 00:05:03.292177027 +0530 IST,2
2025-03-17 00:05:04.292224316 +0530 IST,2
2025-03-17 00:05:05.292290836 +0530 IST,2
2025-03-17 00:05:06.29237166 +0530 IST,2
2025-03-17 00:05:07.292407374 +0530 IST,2
2025-03-17 00:05:08.292653506 +0530 IST,2
2025-03-17 00:05:09.292233106 +0530 IST,2
2025-03-17 00:05:10.292305521 +0530 IST,2
2025-03-17 00:05:11.292437581 +0530 IST,2
2025-03-17 00:05:12.292427082 +0530 IST,2
2025-03-17 00:05:13.292395017 +0530 IST,2
2025-03-17 00:05:14.292256083 +0530 IST,2
2025-03-17 00:05:15.292552622 +0530 IST,2
2025-03-17 00:05:16.292565031 +0530 IST,2
2025-03-17 00:05:17.292115744 +0530 IST,2
2025-03-17 00:05:18.292620009 +0530 IST,2
2025-03-17 00:05:19.292334913 +0530 IST,2
2025-03-17 00:05:20.292317579 +0530 IST,2
